threshold,fp_count,fn_count,tp_count,tn_count,fp_rate,fn_rate,detection_rate,precision,recall,f1
0.05,0,4,215,326,0.0,0.0183,0.9817,1.0,0.9817,0.9908
0.075,0,5,214,326,0.0,0.0228,0.9772,1.0,0.9772,0.9885
0.1,0,5,214,326,0.0,0.0228,0.9772,1.0,0.9772,0.9885
0.125,0,5,214,326,0.0,0.0228,0.9772,1.0,0.9772,0.9885
0.15,0,5,214,326,0.0,0.0228,0.9772,1.0,0.9772,0.9885
0.175,0,5,214,326,0.0,0.0228,0.9772,1.0,0.9772,0.9885
0.2,0,5,214,326,0.0,0.0228,0.9772,1.0,0.9772,0.9885
0.225,0,5,214,326,0.0,0.0228,0.9772,1.0,0.9772,0.9885
0.25,0,7,212,326,0.0,0.032,0.968,1.0,0.968,0.9838
0.275,0,8,211,326,0.0,0.0365,0.9635,1.0,0.9635,0.9814
0.3,0,8,211,326,0.0,0.0365,0.9635,1.0,0.9635,0.9814
0.325,0,9,210,326,0.0,0.0411,0.9589,1.0,0.9589,0.979
0.35,0,9,210,326,0.0,0.0411,0.9589,1.0,0.9589,0.979
0.375,0,9,210,326,0.0,0.0411,0.9589,1.0,0.9589,0.979
0.4,0,11,208,326,0.0,0.0502,0.9498,1.0,0.9498,0.9742
0.425,0,11,208,326,0.0,0.0502,0.9498,1.0,0.9498,0.9742
0.45,0,11,208,326,0.0,0.0502,0.9498,1.0,0.9498,0.9742
0.475,0,11,208,326,0.0,0.0502,0.9498,1.0,0.9498,0.9742
0.5,0,11,208,326,0.0,0.0502,0.9498,1.0,0.9498,0.9742
0.525,0,11,208,326,0.0,0.0502,0.9498,1.0,0.9498,0.9742
0.55,0,11,208,326,0.0,0.0502,0.9498,1.0,0.9498,0.9742
0.575,0,11,208,326,0.0,0.0502,0.9498,1.0,0.9498,0.9742
0.6,0,11,208,326,0.0,0.0502,0.9498,1.0,0.9498,0.9742
0.625,0,11,208,326,0.0,0.0502,0.9498,1.0,0.9498,0.9742
0.65,0,11,208,326,0.0,0.0502,0.9498,1.0,0.9498,0.9742
0.675,0,11,208,326,0.0,0.0502,0.9498,1.0,0.9498,0.9742
0.7,0,11,208,326,0.0,0.0502,0.9498,1.0,0.9498,0.9742
0.725,0,11,208,326,0.0,0.0502,0.9498,1.0,0.9498,0.9742
0.75,0,11,208,326,0.0,0.0502,0.9498,1.0,0.9498,0.9742
0.775,0,11,208,326,0.0,0.0502,0.9498,1.0,0.9498,0.9742
0.8,0,11,208,326,0.0,0.0502,0.9498,1.0,0.9498,0.9742
0.825,0,11,208,326,0.0,0.0502,0.9498,1.0,0.9498,0.9742
0.85,0,12,207,326,0.0,0.0548,0.9452,1.0,0.9452,0.9718
0.875,0,13,206,326,0.0,0.0594,0.9406,1.0,0.9406,0.9694
0.9,0,13,206,326,0.0,0.0594,0.9406,1.0,0.9406,0.9694
0.925,0,15,204,326,0.0,0.0685,0.9315,1.0,0.9315,0.9645
0.95,0,15,204,326,0.0,0.0685,0.9315,1.0,0.9315,0.9645
